Sample in Buffer,Sample in Window,TRIGGER,u_ila_adc/probe[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
353,353,0,6c11a00000000000
354,354,0,6c51a00000000004
355,355,0,6c51a00000000004
356,356,0,6851a00000000000
357,357,0,6851a00000000000
358,358,0,6811a00000000004
359,359,0,6811a00000000004
360,360,0,6811a00000000000
361,361,0,6811a00000000000
362,362,0,4891a00000000004
363,363,0,4a11a00000000004
364,364,0,4a11a00000000000
365,365,0,4a11a00000000000
366,366,0,4a11a00000000004
367,367,0,4a11a00000000004
368,368,0,4a11a00000000000
369,369,0,4a11a00000000000
370,370,0,4a31a00000000004
371,371,0,4831a00000000004
372,372,0,4831a00000000000
373,373,0,4831a00000000000
374,374,0,4811a80000000004
375,375,0,4811a80000000004
376,376,0,4811a80000000000
377,377,0,6911a80000000000
378,378,0,6c11a80000000004
379,379,0,6c11a80000000004
380,380,0,6c11a80000000000
381,381,0,6c11a80000000000
382,382,0,6c11a80000000004
383,383,0,6c11a80000000004
384,384,0,6c11a80000000000
385,385,0,6c11a80000000000
386,386,0,6851a80000000004
387,387,0,6851a80000000004
388,388,0,6851a80000000000
389,389,0,6851a80000000000
390,390,0,6811a80000000004
391,391,0,6811a80000000004
392,392,0,4891a80000000000
393,393,0,4a11a80000000000
394,394,0,4a11a80000000004
395,395,0,4a11a80000000004
396,396,0,4a11a80000000000
397,397,0,4a11a80000000000
398,398,0,4a11a80000000004
399,399,0,4a11a80000000004
400,400,0,4a11a80000000000
401,401,0,4811a80000000000
402,402,0,4831a80000000004
403,403,0,4831a80000000004
404,404,0,4831a80000000000
405,405,0,4831a80000000000
406,406,0,4811b00000000004
407,407,0,6911b00000000004
408,408,0,6c11b00000000000
409,409,0,6c11b00000000000
410,410,0,6c11b00000000004
411,411,0,6c11b00000000004
412,412,0,6c11b00000000000
413,413,0,6c11b00000000000
414,414,0,6c51b00000000004
415,415,0,6c51b00000000004
416,416,0,6851b00000000000
417,417,0,6851b00000000000
418,418,0,6811b00000000004
419,419,0,6811b00000000004
420,420,0,6811b00000000000
421,421,0,6811b00000000000
422,422,0,4891b00000000004
423,423,0,4a11b00000000004
424,424,0,4a11b00000000000
425,425,0,4a11b00000000000
426,426,0,4a11b00000000004
427,427,0,4a11b00000000004
428,428,0,4a11b00000000000
429,429,0,4a11b00000000000
430,430,0,4a31b00000000004
431,431,0,4831b00000000004
432,432,0,4831b00000000000
433,433,0,4831b00000000000
434,434,0,4811b80000000004
435,435,0,4811b80000000004
436,436,0,4811b80000000000
437,437,0,6911b80000000000
438,438,0,6c11b80000000004
439,439,0,6c11b80000000004
440,440,0,6c11b80000000000
441,441,0,6c11b80000000000
442,442,0,6c11b80000000004
443,443,0,6c11b80000000004
444,444,0,6c11b80000000000
445,445,0,6c11b80000000000
446,446,0,6851b80000000004
447,447,0,6851b80000000004
448,448,0,6851b80000000000
449,449,0,6851b80000000000
450,450,0,6811b80000000004
451,451,0,6811b80000000004
452,452,0,4891b80000000000
453,453,0,4a11b80000000000
454,454,0,4a11b80000000004
455,455,0,4a11b80000000004
456,456,0,4a11b80000000000
457,457,0,4a11b80000000000
458,458,0,4a11b80000000004
459,459,0,4a11b80000000004
460,460,0,4a11b80000000000
461,461,0,4811b80000000000
462,462,0,4831b80000000004
463,463,0,4831b80000000004
464,464,0,4831b80000000000
465,465,0,4831b80000000000
466,466,0,4811c00000000004
467,467,0,6911c00000000004
468,468,0,6c11c00000000000
469,469,0,6c11c00000000000
470,470,0,6c11c00000000004
471,471,0,6c11c00000000004
472,472,0,6c11c00000000000
473,473,0,6c11c00000000000
474,474,0,6c51c00000000004
475,475,0,6c51c00000000004
476,476,0,6851c00000000000
477,477,0,6851c00000000000
478,478,0,6811c00000000004
479,479,0,6811c00000000004
480,480,0,6811c00000000000
481,481,0,6811c00000000000
482,482,0,4891c00000000004
483,483,0,4a11c00000000004
484,484,0,4a11c00000000000
485,485,0,4a11c00000000000
486,486,0,4a11c00000000004
487,487,0,4a11c00000000004
488,488,0,4a11c00000000000
489,489,0,4a11c00000000000
490,490,0,4a31c00000000004
491,491,0,4831c00000000004
492,492,0,4831c00000000000
493,493,0,4831c00000000000
494,494,0,4811c80000000004
495,495,0,4811c80000000004
496,496,0,4811c80000000000
497,497,0,6911c80000000000
498,498,0,6c11c80000000004
499,499,0,6c11c80000000004
500,500,0,6c11c80000000000
501,501,0,6c11c80000000000
502,502,0,6c11c80000000004
503,503,0,6c11c80000000004
504,504,0,6c11c80000000000
505,505,0,6c11c80000000000
506,506,0,6851c80000000004
507,507,0,6851c80000000004
508,508,0,6851c80000000000
509,509,0,6851c80000000000
510,510,0,6811c80000000004
511,511,0,6811c80000000004
512,512,0,4891c80000000000
513,513,0,4a11c80000000000
514,514,0,4a11c80000000004
515,515,0,4a11c80000000004
516,516,0,4a11c80000000000
517,517,0,4a11c80000000000
518,518,0,4a11c80000000004
519,519,0,4a11c80000000004
520,520,0,4a11c80000000000
521,521,0,4811c80000000000
522,522,0,4831c80000000004
523,523,0,4831c80000000004
524,524,0,4831c80000000000
525,525,0,4831c80000000000
526,526,0,4811d00000000004
527,527,0,6911d00000000004
528,528,0,6c11d00000000000
529,529,0,6c11d00000000000
530,530,0,6c11d00000000004
531,531,0,6c11d00000000004
532,532,0,6c11d00000000000
533,533,0,6c11d00000000000
534,534,0,6c51d00000000004
535,535,0,6c51d00000000004
536,536,0,6851d00000000000
537,537,0,6851d00000000000
538,538,0,6811d00000000004
539,539,0,6811d00000000004
540,540,0,6811d00000000000
541,541,0,6811d00000000000
542,542,0,4891d00000000004
543,543,0,4a11d00000000004
544,544,0,4a11d00000000000
545,545,0,4a11d00000000000
546,546,0,4a11d00000000004
547,547,0,4a11d00000000004
548,548,0,4a11d00000000000
549,549,0,4a11d00000000000
550,550,0,4a31d00000000004
551,551,0,4831d00000000004
552,552,0,4831d00000000000
553,553,0,4831d00000000000
554,554,0,4811d80000000004
555,555,0,4811d80000000004
556,556,0,4811d80000000000
557,557,0,6911d80000000000
558,558,0,6c11d80000000004
559,559,0,6c11d80000000004
560,560,0,6c11d80000000000
561,561,0,6c11d80000000000
562,562,0,6c11d80000000004
563,563,0,6c11d80000000004
564,564,0,6c11d80000000000
565,565,0,6c11d80000000000
566,566,0,6851d80000000004
567,567,0,6851d80000000004
568,568,0,6851d80000000000
569,569,0,6851d80000000000
570,570,0,6811d80000000004
571,571,0,6811d80000000004
572,572,0,4891d80000000000
573,573,0,4a11d80000000000
574,574,0,4a11d80000000004
575,575,0,4a11d80000000004
576,576,0,4a11d80000000000
577,577,0,4a11d80000000000
578,578,0,4a11d80000000004
579,579,0,4a11d80000000004
580,580,0,4a11d80000000000
581,581,0,4811d80000000000
582,582,0,4831d80000000004
583,583,0,4831d80000000004
584,584,0,4831d80000000000
585,585,0,4831d80000000000
586,586,0,4811e00000000004
587,587,0,6911e00000000004
588,588,0,6c11e00000000000
589,589,0,6c11e00000000000
590,590,0,6c11e00000000004
591,591,0,6c11e00000000004
592,592,0,6c11e00000000000
593,593,0,6c11e00000000000
594,594,0,6c51e00000000004
595,595,0,6c51e00000000004
596,596,0,6851e00000000000
597,597,0,6851e00000000000
598,598,0,6811e00000000004
599,599,0,6811e00000000004
600,600,0,6811e00000000000
601,601,0,6811e00000000000
602,602,0,4891e00000000004
603,603,0,4a11e00000000004
604,604,0,4a11e00000000000
605,605,0,4a11e00000000000
606,606,0,4a11e00000000004
607,607,0,4a11e00000000004
608,608,0,4a11e00000000000
609,609,0,4a11e00000000000
610,610,0,4a31e00000000004
611,611,0,4831e00000000004
612,612,0,4831e00000000000
613,613,0,4831e00000000000
614,614,0,4811e80000000004
615,615,0,4811e80000000004
616,616,0,4811e80000000000
617,617,0,6911e80000000000
618,618,0,6c11e80000000004
619,619,0,6c11e80000000004
620,620,0,6c11e80000000000
621,621,0,6c11e80000000000
622,622,0,6c11e80000000004
623,623,0,6c11e80000000004
624,624,0,6c11e80000000000
625,625,0,6c11e80000000000
626,626,0,6851e80000000004
627,627,0,6851e80000000004
628,628,0,6851e80000000000
629,629,0,6851e80000000000
630,630,0,6811e80000000004
631,631,0,6811e80000000004
632,632,0,4891e80000000000
633,633,0,4a11e80000000000
634,634,0,4a11e80000000004
635,635,0,4a11e80000000004
636,636,0,4a11e80000000000
637,637,0,4a11e80000000000
638,638,0,4a11e80000000004
639,639,0,4a11e80000000004
640,640,0,4a11e80000000000
641,641,0,4811e80000000000
642,642,0,4831e80000000004
643,643,0,4831e80000000004
644,644,0,4831e80000000000
645,645,0,4831e80000000000
646,646,0,4811f00000000004
647,647,0,6911f00000000004
648,648,0,6c11f00000000000
649,649,0,6c11f00000000000
650,650,0,6c11f00000000004
651,651,0,6c11f00000000004
652,652,0,6c11f00000000000
653,653,0,6c11f00000000000
654,654,0,6c51f00000000004
655,655,0,6c51f00000000004
656,656,0,6851f00000000000
657,657,0,6851f00000000000
658,658,0,6811f00000000004
659,659,0,6811f00000000004
660,660,0,6811f00000000000
661,661,0,6811f00000000000
662,662,0,4891f00000000004
663,663,0,4a11f00000000004
664,664,0,4a11f00000000000
665,665,0,4a11f00000000000
666,666,0,4a11f00000000004
667,667,0,4a11f00000000004
668,668,0,4a11f00000000000
669,669,0,4a11f00000000000
670,670,0,4a31f00000000004
671,671,0,4831f00000000004
672,672,0,4831f00000000000
673,673,0,4831f00000000000
674,674,0,4811f80000000004
675,675,0,4811f80000000004
676,676,0,4811f80000000000
677,677,0,6911f80000000000
678,678,0,6c11f80000000004
679,679,0,6c11f80000000004
680,680,0,6c11f80000000000
681,681,0,6c11f80000000000
682,682,0,6c11f80000000004
683,683,0,6c11f80000000004
684,684,0,6c11f80000000000
685,685,0,6c11f80000000000
686,686,0,6851f80000000004
687,687,0,6851f80000000004
688,688,0,6851f80000000000
689,689,0,6851f80000000000
690,690,0,6811f80000000004
691,691,0,6811f80000000004
692,692,0,4891f80000000000
693,693,0,4a11f80000000000
694,694,0,4a11f80000000004
695,695,0,4a11f80000000004
696,696,0,4a11f80000000000
697,697,0,4a11f80000000000
698,698,0,4a11f80000000004
699,699,0,4a11f80000000004
700,700,0,4a11f80000000000
701,701,0,4811f80000000000
702,702,0,4831f80000000004
703,703,0,4831f80000000004
704,704,0,4831f80000000000
705,705,0,4831f80000000000
706,706,0,4812000000000004
707,707,0,6912000000000004
708,708,0,6c12000000000000
709,709,0,6c12000000000000
710,710,0,6c12000000000004
711,711,0,6c12000000000004
712,712,0,6c12000000000000
713,713,0,6c12000000000000
714,714,0,6c52000000000004
715,715,0,6c52000000000004
716,716,0,6852000000000000
717,717,0,6852000000000000
718,718,0,6812000000000004
719,719,0,6812000000000004
720,720,0,6812000000000000
721,721,0,6812000000000000
722,722,0,4892000000000004
723,723,0,4a12000000000004
724,724,0,4a12000000000000
725,725,0,4a12000000000000
726,726,0,4a12000000000004
727,727,0,4a12000000000004
728,728,0,4a12000000000000
729,729,0,4a12000000000000
730,730,0,4a32000000000004
731,731,0,4832000000000004
732,732,0,4832000000000000
733,733,0,4832000000000000
734,734,0,4812080000000004
735,735,0,4812080000000004
736,736,0,4812080000000000
737,737,0,6912080000000000
738,738,0,6c12080000000004
739,739,0,6c12080000000004
740,740,0,6c12080000000000
741,741,0,6c12080000000000
742,742,0,6c12080000000004
743,743,0,6c12080000000004
744,744,0,6c12080000000000
745,745,0,6c12080000000000
746,746,0,6852080000000004
747,747,0,6852080000000004
748,748,0,6852080000000000
749,749,0,6852080000000000
750,750,0,6812080000000004
751,751,0,6812080000000004
752,752,0,4892080000000000
753,753,0,4a12080000000000
754,754,0,4a12080000000004
755,755,0,4a12080000000004
756,756,0,4a12080000000000
757,757,0,4a12080000000000
758,758,0,4a12080000000004
759,759,0,4a12080000000004
760,760,0,4a12080000000000
761,761,0,4812080000000000
762,762,0,4832080000000004
763,763,0,4832080000000004
764,764,0,4832080000000000
765,765,0,4832080000000000
766,766,0,4812100000000004
767,767,0,6912100000000004
768,768,0,6c12100000000000
769,769,0,6c12100000000000
770,770,0,6c12100000000004
771,771,0,6c12100000000004
772,772,0,6c12100000000000
773,773,0,6c12100000000000
774,774,0,6c52100000000004
775,775,0,6c52100000000004
776,776,0,6852100000000000
777,777,0,6852100000000000
778,778,0,6812100000000004
779,779,0,6812100000000004
780,780,0,6812100000000000
781,781,0,6812100000000000
782,782,0,4892100000000004
783,783,0,4a12100000000004
784,784,0,4a12100000000000
785,785,0,4a12100000000000
786,786,0,4a12100000000004
787,787,0,4a12100000000004
788,788,0,4a12100000000000
789,789,0,4a12100000000000
790,790,0,4a32100000000004
791,791,0,4832100000000004
792,792,0,4832100000000000
793,793,0,4832100000000000
794,794,0,4812180000000004
795,795,0,4812180000000004
796,796,0,4812180000000000
797,797,0,6912180000000000
798,798,0,6c12180000000004
799,799,0,6c12180000000004
800,800,0,6c12180000000000
801,801,0,6c12180000000000
802,802,0,6c12180000000004
803,803,0,6c12180000000004
804,804,0,6c12180000000000
805,805,0,6c12180000000000
806,806,0,6852180000000004
807,807,0,6852180000000004
808,808,0,6852180000000000
809,809,0,6852180000000000
810,810,0,6812180000000004
811,811,0,6812180000000004
812,812,0,4892180000000000
813,813,0,4a12180000000000
814,814,0,4a12180000000004
815,815,0,4a12180000000004
816,816,0,4a12180000000000
817,817,0,4a12180000000000
818,818,0,4a12180000000004
819,819,0,4a12180000000004
820,820,0,4a12180000000000
821,821,0,4812180000000000
822,822,0,4832180000000004
823,823,0,4832180000000004
824,824,0,4832180000000000
825,825,0,4832180000000000
826,826,0,4812200000000004
827,827,0,6912200000000004
828,828,0,6c12200000000000
829,829,0,6c12200000000000
830,830,0,6c12200000000004
831,831,0,6c12200000000004
832,832,0,6c12200000000000
833,833,0,6c12200000000000
834,834,0,6c52200000000004
835,835,0,6c52200000000004
836,836,0,6852200000000000
837,837,0,6852200000000000
838,838,0,6812200000000004
839,839,0,6812200000000004
840,840,0,6812200000000000
841,841,0,6812200000000000
842,842,0,4892200000000004
843,843,0,4a12200000000004
844,844,0,4a12200000000000
845,845,0,4a12200000000000
846,846,0,4a12200000000004
847,847,0,4a12200000000004
848,848,0,4a12200000000000
849,849,0,4a12200000000000
850,850,0,4a32200000000004
851,851,0,4832200000000004
852,852,0,4832200000000000
853,853,0,4832200000000000
854,854,0,4812280000000004
855,855,0,4812280000000004
856,856,0,4812280000000000
857,857,0,6912280000000000
858,858,0,6c12280000000004
859,859,0,6c12280000000004
860,860,0,6c12280000000000
861,861,0,6c12280000000000
862,862,0,6c12280000000004
863,863,0,6c12280000000004
864,864,0,6c12280000000000
865,865,0,6c12280000000000
866,866,0,6852280000000004
867,867,0,6852280000000004
868,868,0,6852280000000000
869,869,0,6852280000000000
870,870,0,6812280000000004
871,871,0,6812280000000004
872,872,0,4892280000000000
873,873,0,4a12280000000000
874,874,0,4a12280000000004
875,875,0,4a12280000000004
876,876,0,4a12280000000000
877,877,0,4a12280000000000
878,878,0,4a12280000000004
879,879,0,4a12280000000004
880,880,0,4a12280000000000
881,881,0,4812280000000000
882,882,0,4832280000000004
883,883,0,4832280000000004
884,884,0,4832280000000000
885,885,0,4832280000000000
886,886,0,4812300000000004
887,887,0,6912300000000004
888,888,0,6c12300000000000
889,889,0,6c12300000000000
890,890,0,6c12300000000004
891,891,0,6c12300000000004
892,892,0,6c12300000000000
893,893,0,6c12300000000000
894,894,0,6c52300000000004
895,895,0,6c52300000000004
896,896,0,6852300000000000
897,897,0,6852300000000000
898,898,0,6812300000000004
